0,1,2,3,4,raio,time,7,8,raio,time,11,12,,time,15,16,,time
ret_cvxp_12_2,cvxps_size,2.4370415,cutoff-w-sep-10,0.643295467,0.263965742,0.1939042,cutoff-w-sep-16,0.680348662,0.279169912,0.302639,cutoff-w-sep-22,0.761345646,0.312405696,0.4036105,cutoff-w-sep-28,0.819980701,0.336465629,0.5285646
ret_cvxp_12_21,cvxps_size,7.066614,cutoff-w-sep-10,1.321364209,0.186986895,0.1635766,cutoff-w-sep-16,1.55554749,0.220126285,0.2523159,cutoff-w-sep-22,1.645417433,0.232843825,0.3554302,cutoff-w-sep-28,2.001983332,0.283301639,0.4471419
ret_cvxp_12_22,cvxps_size,8.669288,cutoff-w-sep-10,1.671080846,0.192758719,0.1427629,cutoff-w-sep-16,2.063637907,0.238040068,0.2165264,cutoff-w-sep-22,2.010540015,0.231915241,0.2960121,cutoff-w-sep-28,2.366863608,0.27301707,0.3816097
ret_cvxp_12_23,cvxps_size,9.222295,cutoff-w-sep-10,1.804982984,0.195719502,0.1394059,cutoff-w-sep-16,1.856911909,0.201350305,0.2252338,cutoff-w-sep-22,2.378465493,0.257903862,0.3126024,cutoff-w-sep-28,2.634638122,0.285681397,0.3885903
ret_cvxp_12_24,cvxps_size,7.9614795,cutoff-w-sep-10,1.516014992,0.190418752,0.1135615,cutoff-w-sep-16,1.667186873,0.209406665,0.1934043,cutoff-w-sep-22,1.940934178,0.243790639,0.261755,cutoff-w-sep-28,1.725722344,0.216759001,0.3288599
ret_cvxp_12_25,cvxps_size,8.8407145,cutoff-w-sep-10,1.426869383,0.161397519,0.106658,cutoff-w-sep-16,1.656982011,0.187426255,0.162696,cutoff-w-sep-22,1.782588719,0.20163401,0.2216364,cutoff-w-sep-28,2.258782138,0.255497691,0.2925959
ret_cvxp_12_3,cvxps_size,2.83817,cutoff-w-sep-10,0.437285488,0.154073043,0.1525036,cutoff-w-sep-16,0.512115091,0.180438484,0.23387,cutoff-w-sep-22,0.671907471,0.236739685,0.32643,cutoff-w-sep-28,0.714388859,0.251707565,0.4054401
ret_cvxp_12_4,cvxps_size,2.9402995,cutoff-w-sep-10,0.414806221,0.14107618,0.1556435,cutoff-w-sep-16,0.578777004,0.196842874,0.2530378,cutoff-w-sep-22,0.721856287,0.24550434,0.3545837,cutoff-w-sep-28,0.823564903,0.280095583,0.4411198
ret_cvxp_12_5,cvxps_size,3.098764,cutoff-w-sep-10,0.391469357,0.126330807,0.1511699,cutoff-w-sep-16,0.435042315,0.140392206,0.2239161,cutoff-w-sep-22,0.529748209,0.17095468,0.3117984,cutoff-w-sep-28,0.501982475,0.16199442,0.392091
ret_cvxp_14_1,cvxps_size,3.439528,cutoff-w-sep-10,0.5513216,0.1602899,0.2034347,cutoff-w-sep-16,0.57723719,0.167824536,0.3052111,cutoff-w-sep-22,0.697549231,0.202803766,0.4271496,cutoff-w-sep-28,0.745037015,0.216610249,0.5391558
ret_cvxp_14_11,cvxps_size,5.6063695,cutoff-w-sep-10,0.87567465,0.156192818,0.1718229,cutoff-w-sep-16,0.929050198,0.165713337,0.2628978,cutoff-w-sep-22,1.302535551,0.232331378,0.3790164,cutoff-w-sep-28,1.278860913,0.228108567,0.4759556
ret_cvxp_14_12,cvxps_size,5.998879,cutoff-w-sep-10,1.05162239,0.175303151,0.1776241,cutoff-w-sep-16,1.22849745,0.204787836,0.2648665,cutoff-w-sep-22,1.360027893,0.226713673,0.3772616,cutoff-w-sep-28,1.428510686,0.238129605,0.4506333
ret_cvxp_14_13,cvxps_size,6.2483905,cutoff-w-sep-10,1.325897227,0.212198202,0.1975146,cutoff-w-sep-16,1.484576114,0.237593363,0.325385,cutoff-w-sep-22,1.62151403,0.259509074,0.4357545,cutoff-w-sep-28,1.650200033,0.264100016,0.5683524
ret_cvxp_14_14,cvxps_size,5.79268,cutoff-w-sep-10,0.777484194,0.134218392,0.2039334,cutoff-w-sep-16,1.29247061,0.223121355,0.325794,cutoff-w-sep-22,1.445513596,0.24954142,0.4393086,cutoff-w-sep-28,1.435343017,0.247785657,0.5523799
ret_cvxp_14_15,cvxps_size,6.38302,cutoff-w-sep-10,1.118031176,0.175157085,0.1911318,cutoff-w-sep-16,1.213745218,0.190152188,0.3109125,cutoff-w-sep-22,1.512281876,0.236922628,0.4350747,cutoff-w-sep-28,1.526638982,0.239171894,0.5526343
ret_cvxp_14_2,cvxps_size,3.5659425,cutoff-w-sep-10,0.483786852,0.135668719,0.1746783,cutoff-w-sep-16,0.56296399,0.157872425,0.2615736,cutoff-w-sep-22,0.730306655,0.204800457,0.3691896,cutoff-w-sep-28,0.740352502,0.207617622,0.4556909
ret_cvxp_14_21,cvxps_size,9.7459445,cutoff-w-sep-10,1.688516773,0.173253272,0.2129621,cutoff-w-sep-16,1.885358584,0.193450577,0.3446892,cutoff-w-sep-22,2.097947739,0.215263666,0.4569694,cutoff-w-sep-28,2.375378903,0.243729985,0.5984261
ret_cvxp_14_22,cvxps_size,8.665078,cutoff-w-sep-10,1.349427442,0.155731713,0.1730043,cutoff-w-sep-16,1.517113976,0.175083707,0.2700204,cutoff-w-sep-22,1.742592477,0.201105227,0.3573182,cutoff-w-sep-28,1.916118096,0.221131085,0.4566073
