nb_cvpx,index,cvxps_size,cutoff-w-sep-10,time_sep10,cutoff-w-sep-16,time_sep16,cutoff-w-sep-22,time_sep22,cutoff-w-sep-28,time_sep28
6,1,1.3259385,0.52766981,0.0679694,0.516669949,0.0993252,0.546434279,0.1376312,0.541581399,0.1604884
6,2,1.367573,0.553599993,0.0858537,0.557168728,0.1254283,0.666238187,0.1824309,0.647836898,0.2248297
6,3,1.492897,0.557132683,0.0625148,0.601087453,0.1025744,0.595343817,0.1375529,0.710854717,0.1921941
6,4,1.4995065,0.589252455,0.0805762,0.631537147,0.1220317,0.650669764,0.1673271,0.688291885,0.2106121
6,5,1.6315175,0.401579756,0.0789416,0.588745552,0.1232527,0.612290083,0.1707506,0.722473198,0.2147589
6,11,2.6414605,1.210641426,0.0757636,1.21553126,0.1286336,1.273665954,0.1733713,1.276110871,0.2168511
6,12,2.1089315,0.681958461,0.1121591,0.887146418,0.1936771,0.915103445,0.2376542,0.937083083,0.2884584
6,13,2.770187,0.836008129,0.1059128,1.009979302,0.1705919,1.34567885,0.2296999,1.370678847,0.2985459
6,14,2.8573385,0.652520869,0.0582405,0.828121993,0.0973973,1.146785595,0.1306509,1.523534714,0.1643238
6,15,2.8922375,0.602055719,0.069655,0.767036792,0.118876,0.853005007,0.1390311,1.080584295,0.185553
6,21,4.116949,1.282358402,0.0859671,1.52530589,0.1428627,2.130896944,0.2043169,2.094158543,0.2646378
6,22,4.5145365,1.363987947,0.0630161,1.64227026,0.1042663,1.841878252,0.1424401,2.357682088,0.1894586
6,23,3.8621175,0.841019027,0.0868686,1.093725684,0.1323977,1.068693421,0.1932478,1.491316047,0.2428937
6,24,4.143735,1.613013129,0.0850569,1.74751995,0.1313302,1.851797088,0.1811249,1.929203398,0.2345439
6,25,3.9623855,0.768629807,0.0541146,1.225782447,0.0873014,1.571761699,0.1316744,1.671530231,0.1779344
8,1,2.0234455,0.504653677,0.1091307,0.521342791,0.1758819,0.709461929,0.2376427,0.704573904,0.3078407
8,2,1.7089615,0.33341667,0.0857601,0.425833147,0.1412694,0.473834768,0.1920379,0.510999776,0.235801
8,3,2.2487705,0.421515806,0.1058484,0.811895754,0.1642086,0.950517115,0.2292586,1.073108133,0.3025196
8,4,2.071446,0.642005522,0.1271678,0.883848379,0.2012839,0.797605448,0.2751156,0.969864653,0.3408718
8,5,2.0403575,0.217430139,0.0732794,0.374755123,0.1319248,0.384549274,0.1792369,0.37176533,0.2248137
8,11,3.629473,0.542918435,0.0822254,0.72250004,0.1419382,0.826724612,0.1844184,0.786959286,0.2474607
8,12,2.919444,0.798154425,0.1148767,0.864088104,0.1733722,0.990601873,0.2627967,0.913115712,0.305738
8,13,4.012184,1.007319756,0.1265499,1.501980838,0.1977119,1.304961747,0.283114,1.770990297,0.343114
8,14,3.225146,0.617052312,0.101577,0.694003496,0.1570838,0.904657364,0.2271746,1.079360601,0.2768001
8,15,3.3653135,0.991579845,0.1229552,0.958585069,0.1998647,1.023706337,0.2651237,1.114379951,0.3443982
8,21,4.9502495,1.348224063,0.1074723,1.528587205,0.1652906,1.776155722,0.2295318,1.774241039,0.2932437
8,22,4.6205735,1.109909926,0.1086794,1.039863465,0.1721059,1.350768839,0.2434689,1.527072221,0.2955417
8,23,5.0585615,1.178508893,0.0946902,1.435038709,0.1680141,1.610788924,0.2321164,1.730648387,0.3031064
8,24,5.1361055,1.61982863,0.1190805,1.566239155,0.1887391,1.842186398,0.2491139,1.888257925,0.31075
8,25,4.6926815,1.33147432,0.0997716,1.515722784,0.1584638,1.61133657,0.2260338,1.638415511,0.2820324
10,1,2.8367565,0.631375491,0.0991708,0.710967491,0.1695501,0.79405548,0.2323994,0.870967223,0.3082499
10,2,2.380369,0.488682172,0.1427252,0.345288989,0.2138749,0.570540927,0.3006084,0.509118788,0.3818589
10,3,2.364533,0.407054694,0.1428245,0.577274939,0.2300947,0.571928463,0.3126803,0.576552442,0.3989245
10,4,2.51481,0.512619787,0.0876632,0.561992715,0.1272229,0.600918617,0.1796717,0.589183602,0.2353659
10,5,2.706844,0.455649816,0.1221357,0.556851657,0.2052082,0.649358352,0.2722372,0.685950426,0.3656681
10,11,3.249825,0.390059267,0.1449059,0.439460908,0.2142383,0.439083796,0.2965107,0.457059457,0.3710612
10,12,3.9774635,0.952402737,0.1206713,0.993058438,0.2012122,1.402621677,0.2733251,1.373704594,0.3472705
10,13,4.8245595,0.591032296,0.1047589,0.670574656,0.1424145,0.674202904,0.2025675,0.833752784,0.2530731
10,14,4.5776385,1.071871699,0.140201,1.006749561,0.2273313,1.24699222,0.2765888,1.257179643,0.3724279
